Date,Close
01/11/2021 16:00:00,460.04
02/11/2021 16:00:00,461.9
03/11/2021 16:00:00,464.72
04/11/2021 16:00:00,466.91
05/11/2021 16:00:00,468.53
08/11/2021 16:00:00,468.93
09/11/2021 16:00:00,467.38
10/11/2021 16:00:00,463.62
11/11/2021 16:00:00,463.77
12/11/2021 16:00:00,467.27
15/11/2021 16:00:00,467.43
16/11/2021 16:00:00,469.28
17/11/2021 16:00:00,468.14
18/11/2021 16:00:00,469.73
19/11/2021 16:00:00,468.89
22/11/2021 16:00:00,467.57
23/11/2021 16:00:00,468.19
24/11/2021 16:00:00,469.44
26/11/2021 13:15:00,458.97
29/11/2021 16:00:00,464.6
30/11/2021 16:00:00,455.56
01/12/2021 16:00:00,450.5
02/12/2021 16:00:00,457.4
03/12/2021 16:00:00,453.42
06/12/2021 16:00:00,458.79
07/12/2021 16:00:00,468.28
08/12/2021 16:00:00,469.52
09/12/2021 16:00:00,466.35
10/12/2021 16:00:00,470.74
13/12/2021 16:00:00,466.57
14/12/2021 16:00:00,463.36
15/12/2021 16:00:00,470.6
16/12/2021 16:00:00,466.45
17/12/2021 16:00:00,459.87
20/12/2021 16:00:00,454.98
21/12/2021 16:00:00,463.06
22/12/2021 16:00:00,467.69
23/12/2021 16:00:00,470.6
27/12/2021 16:00:00,477.26
28/12/2021 16:00:00,476.87
29/12/2021 16:00:00,477.48
30/12/2021 16:00:00,476.16
31/12/2021 16:00:00,474.96
03/01/2022 16:00:00,477.71
04/01/2022 16:00:00,477.55
05/01/2022 16:00:00,468.38
06/01/2022 16:00:00,467.94
07/01/2022 16:00:00,466.09
10/01/2022 16:00:00,465.51
11/01/2022 16:00:00,469.75
12/01/2022 16:00:00,471.02
13/01/2022 16:00:00,464.53
14/01/2022 16:00:00,464.72
18/01/2022 16:00:00,456.49
19/01/2022 16:00:00,451.75
20/01/2022 16:00:00,446.75
21/01/2022 16:00:00,437.98
24/01/2022 16:00:00,439.84
25/01/2022 16:00:00,434.47
26/01/2022 16:00:00,433.38
27/01/2022 16:00:00,431.24
28/01/2022 16:00:00,441.95
31/01/2022 16:00:00,449.91
01/02/2022 16:00:00,452.95
02/02/2022 16:00:00,457.35
03/02/2022 16:00:00,446.6
04/02/2022 16:00:00,448.7
07/02/2022 16:00:00,447.26
08/02/2022 16:00:00,450.94
09/02/2022 16:00:00,457.54
10/02/2022 16:00:00,449.32
11/02/2022 16:00:00,440.46
14/02/2022 16:00:00,439.02
15/02/2022 16:00:00,446.1
16/02/2022 16:00:00,446.6
17/02/2022 16:00:00,437.06
18/02/2022 16:00:00,434.23
22/02/2022 16:00:00,429.57
23/02/2022 16:00:00,421.95
24/02/2022 16:00:00,428.3
25/02/2022 16:00:00,437.75
28/02/2022 16:00:00,436.63
