Date,Close
01/12/2021,172.19
02/12/2021,171.87
03/12/2021,169.49
06/12/2021,171.37
07/12/2021,176.16
08/12/2021,176.16
09/12/2021,174.17
10/12/2021,172.21
13/12/2021,169.57
14/12/2021,169.09
15/12/2021,173.32
16/12/2021,168.87
17/12/2021,170.02
20/12/2021,167.08
21/12/2021,170.42
22/12/2021,171.04
23/12/2021,171.07
27/12/2021,169.67
28/12/2021,170.66
29/12/2021,169.2
30/12/2021,168.64
31/12/2021,166.72
03/01/2022,170.4
04/01/2022,167.52
05/01/2022,164.36
06/01/2022,163.25
07/01/2022,162.55
10/01/2022,161.49
11/01/2022,165.36
12/01/2022,165.21
13/01/2022,161.21
14/01/2022,162.14
18/01/2022,158.92
19/01/2022,156.3
20/01/2022,151.67
21/01/2022,142.64
24/01/2022,144.54
25/01/2022,139.99
26/01/2022,138.87
27/01/2022,139.64
28/01/2022,143.98
31/01/2022,149.57
