Date,Close
01/12/2021,164.77
02/12/2021,163.76
03/12/2021,161.84
06/12/2021,165.32
07/12/2021,171.18
08/12/2021,175.08
09/12/2021,174.56
10/12/2021,179.45
13/12/2021,175.74
14/12/2021,174.33
15/12/2021,179.3
16/12/2021,172.26
17/12/2021,171.14
20/12/2021,169.75
21/12/2021,172.99
22/12/2021,175.64
23/12/2021,176.28
27/12/2021,180.33
28/12/2021,179.29
29/12/2021,179.38
30/12/2021,178.2
31/12/2021,177.57
03/01/2022,182.01
04/01/2022,179.7
05/01/2022,174.92
06/01/2022,172
07/01/2022,172.17
10/01/2022,172.19
11/01/2022,175.08
12/01/2022,175.53
13/01/2022,172.19
14/01/2022,173.07
18/01/2022,169.8
19/01/2022,166.23
20/01/2022,164.51
21/01/2022,162.41
24/01/2022,161.62
25/01/2022,159.78
26/01/2022,159.69
27/01/2022,159.22
28/01/2022,170.33
31/01/2022,174.78
