Date,Close
01/11/2021,165.91
02/11/2021,165.64
03/11/2021,169.2
04/11/2021,173.85
05/11/2021,175.95
08/11/2021,174.45
09/11/2021,178.81
10/11/2021,174.1
11/11/2021,173.63
12/11/2021,176.26
15/11/2021,177.28
16/11/2021,177.04
17/11/2021,177.45
18/11/2021,184.8
19/11/2021,183.83
22/11/2021,178.63
23/11/2021,179
24/11/2021,179.02
26/11/2021,175.23
29/11/2021,178.08
30/11/2021,175.35
01/12/2021,172.19
02/12/2021,171.87
03/12/2021,169.49
06/12/2021,171.37
07/12/2021,176.16
08/12/2021,176.16
09/12/2021,174.17
10/12/2021,172.21
13/12/2021,169.57
14/12/2021,169.09
15/12/2021,173.32
16/12/2021,168.87
17/12/2021,170.02
20/12/2021,167.08
21/12/2021,170.42
22/12/2021,171.04
23/12/2021,171.07
27/12/2021,169.67
28/12/2021,170.66
29/12/2021,169.2
30/12/2021,168.64
31/12/2021,166.72
03/01/2022,170.4
04/01/2022,167.52
05/01/2022,164.36
06/01/2022,163.25
07/01/2022,162.55
10/01/2022,161.49
11/01/2022,165.36
12/01/2022,165.21
13/01/2022,161.21
14/01/2022,162.14
18/01/2022,158.92
19/01/2022,156.3
20/01/2022,151.67
21/01/2022,142.64
24/01/2022,144.54
25/01/2022,139.99
26/01/2022,138.87
27/01/2022,139.64
28/01/2022,143.98
31/01/2022,149.57
01/02/2022,151.19
02/02/2022,150.61
03/02/2022,138.85
04/02/2022,157.64
07/02/2022,157.94
08/02/2022,161.41
09/02/2022,161.19
10/02/2022,159
11/02/2022,153.29
14/02/2022,155.17
15/02/2022,156.51
16/02/2022,158.1
17/02/2022,154.65
18/02/2022,152.6
22/02/2022,150.2
23/02/2022,144.83
24/02/2022,151.36
25/02/2022,153.79
28/02/2022,153.56
